#{"t_start": 1729732848.422208, "env_id": "None"}
r,l,t
-7.976518,49,50.543924
-7.0602636,40,86.213
-15.9484415,68,140.554653
-9.158178,15,159.567999
-18.13281,31,189.24234
-7.221674,38,223.57646
-7.89069,75,282.585371
-3.6369545,44,320.932823
-7.4447412,100,396.611084
1.659689,66,449.610485
-9.557077,61,499.302252
-21.296423,32,529.624321
-3.8816147,96,602.644277
2.7676134,76,662.317898
-7.9885273,20,684.64112
-1.3315724,100,760.322309
-3.6610804,47,800.671557
-8.133676,45,839.683563
-14.142397,93,910.682896
-9.061168,23,935.024048
-7.7986636,100,1010.711998
-18.57041,26,1037.040247
-6.4063354,100,1112.715988
-7.5095844,47,1153.060197
1.9609032,49,1194.739403
-28.204445,28,1222.393792
-6.6177573,53,1266.74388
-6.524173,48,1307.741569
-22.05429,100,1383.430757
-5.958974,26,1409.764127
-6.802047,67,1464.104816
-12.043289,54,1509.115835
-5.63521,44,1547.454802
-12.599721,50,1589.787712
-10.12324,43,1627.468907
-8.769276,44,1665.804533
-13.550079,20,1688.143563
-8.78409,17,1708.476155
-10.858103,53,1752.811298
-8.154127,28,1780.482854
-24.022865,43,1818.158165
-6.1282916,54,1863.165377
-8.259753,58,1910.840841
-18.0576,20,1933.174381
-4.3084073,45,1972.17855
-11.17908,49,2013.849015
4.8287277,99,2088.855078
2.8389652,57,2135.861912
-9.586754,20,2158.217466
-4.6597486,100,2233.892117
-13.241025,47,2274.223358
-6.9204454,30,2303.235632
-6.3163943,43,2340.904394
-9.279176,20,2363.235567
-8.417075,76,2422.903355
-8.377283,66,2477.246663
-9.554311,60,2526.26398
-29.19867,100,2601.932912
-8.302388,48,2642.945462
-7.486588,52,2686.611899
-9.561945,31,2716.284816
-8.876869,30,2745.290834
-9.527009,48,2786.286565
-8.96157,65,2838.629585
-1.7620096,100,2914.304844
-9.011042,49,2955.979084
-9.351359,34,2987.648463
-9.469027,21,3010.65027
-7.817018,53,3054.990757
-9.568783,54,3099.995205
-9.797657,100,3175.676251
-8.680331,25,3201.346396
-12.335475,92,3271.684907
-4.7374716,100,3347.360624
-9.034786,21,3370.361402
-7.594968,100,3446.050732
-4.7803574,79,3507.718822
-7.3458176,100,3583.395707
-8.119556,28,3611.057606
-3.8348536,67,3664.730747
-6.7700033,45,3703.751138
2.435443,100,3779.425063
-26.2873,30,3808.425624
-15.382812,52,3852.104615
-3.3704119,39,3887.10131
-8.392676,92,3957.453554
-1.7006016,98,4031.788193
-6.3694596,76,4091.472826
-11.033539,59,4139.814565
-29.532753,34,4171.485514
-5.8745623,56,4218.820753
-10.485639,61,4268.491947
-47.212917,66,4321.491594
-19.193,37,4355.161912
-6.5866756,34,4386.840768
-6.9786887,28,4418.172704
-16.56316,41,4454.502227
-14.455111,55,4500.172941
-9.2208395,28,4527.8508
9.039234,100,4603.528735
-8.080982,33,4634.524937
-5.871925,41,4670.876862
-7.4961443,61,4720.536156
-4.5565476,100,4796.216788
-8.450819,50,4838.556605
-9.529925,33,4869.55327
-9.633154,15,4888.564094
-16.637201,61,4938.235215
-7.4446754,26,4964.556022
-6.1631107,50,5006.90735
-9.606755,18,5027.919029
-6.579649,64,5079.589449
-10.313352,100,5155.258961
-9.063436,36,5188.279761
-5.609508,98,5262.61896
-11.973577,85,5328.288773
-0.34326267,78,5389.301653
-17.451288,27,5416.298906
-8.751385,21,5439.310115
-10.094708,43,5476.965279
-5.9440937,51,5519.975701
-4.733995,82,5583.659513
-9.346466,69,5638.6735
-8.462148,79,5700.335705
-9.351759,44,5739.673534
-19.498106,34,5771.347553
-18.212303,56,5817.680751
-6.9154863,100,5893.357218
-10.235597,42,5930.370852
-8.312221,54,5976.043155
-9.217485,44,6014.383635
-9.67029,36,6047.381199
-8.719015,33,6078.384888
-9.800551,32,6108.733529
-9.658007,28,6136.397226
-8.62724,19,6158.051459
-6.3794913,46,6197.735988
-26.994045,28,6225.407768
-8.822904,59,6273.746105
-9.472267,18,6294.741452
-7.2870574,40,6330.420474
-2.8317566,90,6399.422776
1.5876455,55,6445.098156
-8.690569,35,6477.444008
-8.446782,78,6538.448792
-9.787078,17,6558.784811
-9.636135,19,6580.454951
-9.385213,34,6612.128039
-7.5492935,34,6643.790735
-5.385645,88,6711.474605
-8.446076,75,6770.474316
-17.172338,20,6792.811499
-7.7099733,87,6859.822075
-7.141782,65,6912.16926
-5.4745793,30,6941.164131
-5.3733172,52,6984.83291
-4.9514923,41,7021.170291
-1.688446,81,7085.173906
-8.670698,63,7136.175998
-6.171076,67,7190.853415
-9.399333,54,7235.859441
-16.026905,24,7260.864515
-6.966876,100,7336.547721
-9.590747,50,7378.882147
-19.426718,72,7435.88675
-20.011215,100,7511.562897
10.275717,95,7583.888715
-8.014402,31,7613.568851
-6.7573676,99,7688.586308
-12.526316,99,7763.594182
-8.4465065,36,7796.603855
-5.725301,54,7841.609878
-6.6046453,18,7862.614861
-9.448444,48,7903.610393
-8.826895,100,7979.295208
-8.236532,21,8002.293582
-1.6654139,58,8049.977922
-6.702237,74,8108.318958
-0.2057457,96,8181.318777
-9.09588,33,8212.322079
-11.56376,40,8247.9919
-7.8792224,45,8287.001796
-25.533459,48,8328.005295
-17.915506,50,8370.346448
-46.888184,45,8409.353105
-6.492514,100,8485.03316
-8.655402,72,8542.032097
-9.290413,13,8559.711985
-1.3595915,50,8602.048953
1.2100201,64,8653.720412
-4.760599,46,8693.384675
-8.24653,52,8737.065089
-7.1180077,27,8764.058713
-8.611584,76,8823.738973
-13.09765,80,8886.083762
-8.112827,24,8911.092509
-5.152207,76,8970.75911
-56.410423,77,9031.093708
2.9611657,100,9106.789104
-7.6230063,31,9136.448093
-9.245411,54,9181.456048
-9.182709,31,9211.132895
-1.3268089,70,9266.800576
-5.3993864,50,9310.484437
-8.549222,27,9337.481492
-8.603758,25,9363.1565
-4.858183,64,9414.83163
-3.8203735,100,9490.511113
-3.312572,100,9566.185061
-1.1051626,48,9607.177709
